[TITLE] CIT工程学院
[00:00] 欢迎来到Hamerschlag大厅，
[00:05] 工程学院充满活力的核心所在。
[00:07] 我们为能提供多样化的教育资源，
[00:10] 满足学生独特的兴趣与发展需求而深感自豪。
[00:16] 工程学院提供全面的专业选择，
[00:19] 涵盖七大核心工程学科，
[00:22] 其中包含化学工程、土木工程、电子工程、
[00:28] 计算机工程、机械工程、环境工程、
[00:32] 以及材料科学工程。
[00:35] 此外，我们还开设三个
[00:37] 拓展工程学边界的特色专业：
[00:40] 生物医学工程(BME)、
[00:44] 工程与公共政策(EPP)、
[00:48] 工程设计、创新与创业(EDIE)。
[00:52] 这些专业融合专业技术与跨学科知识，
[00:57] 培养学生以创新思维应对复杂挑战的能力。
[01:02] 在我们旁边的Ansys Hall作为创客空间，
[01:06] 所有通过认证的学生均可使用其中的设备与场地。
[01:11] 工程学院还特别设置有本硕连读项目，
[01:16] 实现本科与硕士课程的无缝衔接，
[01:19] 为学生提供更高效的学习路径。
